乘隙,顺便
天地经纬,天经地纬
只身,独自
日月无光,月黑风高
豪门贵胄,遥遥华胄
困窘,困顿
江翻海搅,江翻海沸
由浅入深,由表及里
星驰电发,星驰电掣
开禁,弛禁
永无止境,学无止境
恋酒贪花,恋酒迷花
碰见,遇见
回报,答复
避开,避让
记载,纪录
整顿,整治
酒精,乙醇
言不二价,言无二价
出手,脱手
没有,莫得
囚首垢面,囚首丧面
能言快语,能言快说
英隽,英俊
告发,密告
先斩后奏,先斩后闻
警悟,警醒
被动,被迫
安坐待毙,坐以待毙
王公贵戚,王孙贵戚
午夜,夜半
含英咀华,啜英咀华
与世俯仰,与世沉浮
金玉良言,冷言冷语
五谷丰登,五谷丰熟
石城汤池,金城汤池
刚健,坚硬
展期,缓期
般配,许配
献策,献计
擦脂抹粉,东涂西抹
遇事生风,无事生非
幻术,戏法
总总林林,琳琅满目
奇文瑰句,斐然成章
遏制,扼制
兵器,刀兵
振起,兴起
剿袭,袭取
闲言碎语,闲言闲语
三瓦两舍,三瓦两巷
震恐,震惊
雄风,威风
平地,幽谷
往事,旧事
饥荒,饥馑
散工,短工
委宛,宛转
连明连夜,通宵达旦
比及,等到
人定胜天,谋事在人
雀角鼠牙,鼠牙雀角
世及,世袭
招事惹非,招是揽非
挫骨扬灰,食肉寝皮
庞眉皓发,庞眉皓首
心无二用,心无旁骛
攀藤揽葛,攀藤附葛
乱哄哄,闹哄哄
弹丸之地,置锥之地
担雪填井,担雪填河
孤立无助,孤立无援
惩一戒百,惩一警百
不理不睬,不揪不睬
遣言措意,遣辞措意
椎心饮泣,椎心呕血
声息,声气
寒家,舍间
清词丽句,清辞丽句
围剿,剿灭
供认,招认
未尝,未始
事迹,行状
闻所未闻,闻所不闻
除旧更新,除旧迎新
跌脚捶胸,跌脚槌胸
热情奔放,热情洋溢
权门,豪门
景物,风光
高情远意,高情远韵
显赫,显耀
千篇一律,千人一面
升沉,起伏
姿色,姿首
煮豆燃箕,骨肉相残
鱼沉鸿断,鱼沉雁静
涸鱼得水,涸鲋得水
焦点,中央
没石饮羽,没金饮羽
系念,顾虑
家乡,本乡
丹心,赤忱
心向往之,心弛神往
旷日引久,旷日引月
乳母,养娘
仪容,边幅
表里山河,表里河山
落价,削价
怨气冲天,怨气满腹
黄齑淡饭,黄齑白饭
遮天盖地,铺天盖地
鹏程万里,来日方长
憋屈,憋闷
不堪,不胜
临摹,摹仿
丰年,乐岁
挣脱,解脱
舞动,挥舞
璀璨,灿艳
敬老慈幼,敬老慈少
目击耳闻,耳闻目睹
直率,直露
遣将征兵,遣将调兵
打富济贫,杀富济贫
啼饥号寒,嗷嗷待哺
嘴脸,面孔
追忆,追寻
柔情似水,柔情蜜意
指派,派遣
妆奁,嫁妆
召回,调回
衰老,朽迈
迷濛,迷蒙
借水推船,借水行舟
连更彻夜,连更星夜
讨债,索债
迎头痛击,浴血奋战
先声夺人,兵贵先声
托病,称疾
晾晒,曝晒
华文,汉文
通信,通讯
宏构,杰作
涕泗滂沱,痛哭流涕
庞然大物,硕大无朋
略逊一筹,稍逊一筹
明扬仄陋,明扬侧陋
地方官,父母官
见景生情,触景伤心
奇迹,事业
万绪千端,千绪万端
不得好死,不得善终
惊心吊胆,惊心悼胆
随寓而安,随寓随安
东山高卧,高卧东山
名噪一时,名重一时
发放,散发
佳肴,好菜
不战而胜,兵不血刃
乖僻,怪僻
沐雨栉风,风栉雨沐
立室,匹配
整年,终年
影相,照相
苍髯如戟,须髯如戟
讨情,说情
形单影只,形孤影寡
乐呵呵,兴冲冲
不上不下,不上不落
亲操井臼,井臼亲操
小批,小量
两虎相斗,两虎相争
飘萍断梗,飘蓬断梗
柳绿桃红,桃红柳绿
泥坑,泥塘
划算,合算
七零八落,星落云散
清澄,澄澈
历本,黄历
木人石心,木石心肠
华亭鹤唳,鹤唳华亭
说黑道白,说黄道黑
秣马厉兵,谷马砺兵
隐痛,苦衷
慷慨解囊,好善乐施
家传户诵,家传人诵
见精识精,见经识经
坐享其成,坐享其功
作伐,执柯
遗闻琐事,遗闻逸事
机关算尽,机关用尽
自觉自愿,两相情愿
龙盘凤逸,龙蟠凤逸
数目,数量
陡壁,峭壁
实用,适用
搅散,搞乱
活路,生路
嚎叫,嗥叫
攻其无备,攻其无备
有情,多情
威风扫地,威信扫地
遗编断简,遗编绝简
体贴,关爱
急口令,绕口令
长久,漫长
乌合之众,蜂营蚁队
比喻,比方
形体,形骸
伏法,伏诛
迫害,毒害
凋敝,萧瑟
卤莽灭裂,鲁莽灭裂
作对,作梗
陶然自得,欣然自得
戴圆履方,戴天履地
矢无虚发,弦无虚发
红杏出墙,不安于室
水落归槽,水落归漕
干戈,兵戈
以强凌弱,以弱胜强
会心,会意
山公,猴子
深根固本,深根固蒂
宅眷,家属
成双作对,成双成对
嘉赞,赞许
做作,别扭
土洋并举,土洋结合
杞人之忧,杞国忧天
不成才,不长进
截长补短,移东补西
迩来,近来
供水,给水
付梓,排印
一文不值,半文不值
以莛叩钟,以莛撞钟
蜂拥而来,蜂拥而上
没头没脑,劈头盖脸
路过,途经
蒙蒙细雨,牛毛细雨
三山五岳,四山五岳
丰足,雄厚
互市,通商
绿油油,绿莹莹
无妄之灾,池鱼之殃
半身不摄,半身不遂
要冲,要路
冷僻,荒僻
天寒地冻,千里冰封
精诚团结,精诚所至
连枝分叶,连枝同气
讲话,语言
轰然,隆然
轻徭薄赋,轻赋薄敛
强劲,刚劲
蔽聪塞明,不闻不问
急转直下,扶摇直上
首创,创举
夭厉,瘟疫
必经之路,必由之路
神奸巨猾,神奸巨蠹
秋高气爽,天高气清
闻名天下,闻名遐迩
饶舌,多言
车殆马烦,车烦马毙
宏才大略,雄才大略
垂纶,钓鱼
伯仲之间,季孟之间
修心养性,澡身浴德
露台,晒台
硕大,丰硕
混俗和光,浑俗和光
何必,何苦
逃债,避债
姐姐,老姐
一头雾水,糊里糊涂
如日中天,蓬勃发展
形单影只,孤身只影
浪迹萍踪,浪迹浮踪
疼痛,痛楚
喜从天降,无妄之福
强化,深化
辱国殃民,辱国殄民
改恶为善,改恶行善
为好成歉,要好成歉
数白论黄,论黄数白
至理名言,良药苦口
调三惑四,调三斡四
无时无刻,每时每刻
杂务,琐务
大功毕成,大功告成
佛门,空门
俟机,伺机
洞烛其奸,旁观者清
刺探,打探
然糠照薪,闻鸡起舞
阴事,阴私
家反宅乱,家翻宅乱
小说,演义
骑驴找驴,骑马找马
放浪形骸,倜傥不羁
适应,顺应
多此一举,冠上加冠
顾盼生姿,顾盼生辉
发上冲冠,发上指冠
大惊失色,瞠目而视
丧胆,无畏
募集,召募
追本溯源,追根穷源
不消,不用
衡量,量度
半数,折半
接见,会晤
粮食,食粮
命运多舛,流年不利
空屋,空房
令人震惊,动人心魄
自愿,自发
夏天,炎天
食不充口,食不餬口
合唱,齐唱
垂耳下首,俯首帖耳
枯木发荣,枯树开花
百战不殆,不败之地
爱理不理,爱答不理
适才,方才
一介不取,一介不苟
目无法纪,目无王法
百废待举,百废待兴
心性,心肠
放浪不羁,不拘形迹
不拘一格,不名一格
收容,收留
甄别,鉴别
付之一笑,付诸一笑
调子,曲调
哄传,盛传
短命,夭殇
餬口,谋生
不辞而别,逃之夭夭
有劲,有力
龙跳虎伏,龙跳虎卧
团鱼,甲鱼
囚禁,幽禁
天使,天神
口传,口授
实习,演习
不快不慢,不疾不徐
飞鹰走狗,飞鹰走犬
不啻,不止
抵死漫生,抵死谩生
自卑,自惭
夙怨,宿恨
跺脚,顿脚
瘦语,暗语
谩天昧地,瞒天过海
众川赴海,众流归海
大捷,大胜
杜门晦迹,杜门绝迹
奇观,异景
渺无音信,渺无音讯
庐山真面,庐山面目
间隙,缝隙
柔柔,轻柔
骄傲,骄贵
不能,不行
判词,判语
法衣,袈裟
沉吟,深思
束缊请火,束缊举火
头破血流,头破血淋
天然,自然
遵养时晦,遵时养晦
琼浆玉液,青州从事
丛林,森林
受宠若惊,闻宠若惊
幽微,隐微
垂怜,怜爱
存思,存神
呵叱,责问
依时,守时
干柴烈火,烈火干柴
左支右吾,左枝右梧
市场,商场
颐养,保养
词藻,词采
清苦,清贫
鲜车健马,鲜车怒马
琴心剑胆,文武双全
福气,福分
俯仰随人,俯仰由人
名目,项目
乌龟,王八
视险如夷,视险若夷
道乏,道劳
一槌定音,一锤定音
守节,守志
贵远贱近,贵远鄙近
俟机,伺隙
踵趾相接,踵足相接
飞黄腾达,腾达飞黄
露纂雪钞,露纂雪钞
夸父追日,夸父逐日
三灾八难,三灾六难
充数,凑数
入室操戈,以子之矛
守正不挠,守正不阿
恶魔,魔鬼
稀稀落落,零零星星
上行下效,盂方水方
子民,平民
避祸就福,避祸求福
刀刀见血,单刀直入
恋爱,爱情
艳装,盛饰
丧师辱国,辱国丧师
笔下超生,笔底超生
预订,预订
鼠肝虫臂,鼠臂虮肝
一时半刻,一时半霎
全豹,通盘
吩咐,移交
大宗,巨额
不拘细行,不衫不履
切齿痛恨,痛心疾首
避而不谈,存而不论
例如,举例
寒冬腊月,残冬腊月
钓名沽誉,钓誉沽名
枕戈待命,枕戈待敌
犒赏,赏赐
及早,赶早
爱抚,扶摩
生死与共,同生共死
告讦,告密
从头,重新
十日,旬日
愤世疾俗,愤时疾俗
旷课,缺课
太阿倒持,反客为主
保镖,警卫
狐假虎威,谄上骄下
陶鸡瓦犬,土鸡瓦犬
世道人心,世道人情
袭冶承弓,父析子荷
浩叹,长吁
大声,高声
幸不辱命,不辱使命
爷羹娘饭,爷饭娘羹
景色,景观
及格,合格
出丧,出殡
毛发耸然,毛发悚然
叩门,敲门
如臂使指,庖丁解牛
毫厘不差,不差毫厘
工巧,工细
晓示,晓谕
借交报仇,借身报仇
唾壶击碎,唾壶击缺
清客,篾片
殚思极虑,殚智竭力
兰艾俱焚,兰艾同焚
转弯磨角,转弯抹角
徒托空言,徒陈空文
奋不顾身,万死不辞
攻无不克,锐不可挡
杀人,灭口
少不更事,少不经事
软玉温香,软香温玉
坚韧不拔,精卫填海
暴减,锐减
驰名中外,扬名四海
浇瓜之惠,灌瓜之义
无休无止,没完没了
初出茅庐,新硎初试
斜阳,落日
匹马单枪,单人独马
大亨,财主
文案,案牍
故园,故居
罪大恶极,罪恶昭著
冥顽不灵,蒙昧无知
益友,良朋
东飘西泊,东飘西荡
生产,出产
殊荣,盛誉
遗编坠简,遗编绝简
雅人深致,雅人清致
堤溃蚁孔,堤溃蚁穴
鬼出电入,千变万化
圆顶方趾,圆颅方趾
累赘,拖累
有效,有用
出乎意外,出乎预料
省察,省检
耐人寻味,耐人咀嚼
叙旧,话旧
嫁狗随狗,嫁鸡逐鸡
更弦改辙,更弦易辙
辛福,甜蜜
男尊女卑,重男轻女
呼喝,怒斥
亢极之悔,亢龙有悔
挹盈注虚,挹彼注此
危急存亡,存亡绝续
获胜,告捷
倒运,晦气
成景,澄净
众怒难任,众怒难犯
怄气,生气
诗朋酒侣,诗朋酒友
停步,留步
履霜坚冰,履霜知冰
停步,止步
运载,运输
山崩钟应,铜山西崩
纪年,编年
照映,衬映
思想包袱,精神压力
格杀勿论,格杀无论
笨口拙舌,拙口钝腮
挨肩迭背,挨肩擦膀
迎风招展,随风飘扬
万古长存,万古千秋
透澈,透辟
触景伤怀,触景伤情
借酒浇愁,借酒消愁
捧腹大笑,哈哈大笑
纡佩金紫,纡青佩紫
戳破,刺破
黄耳传书,黄耳寄书
土匪,匪贼
假公济私,损公肥私
形销骨立,形容枯槁
可笑,好笑
惺忪,慵懒
乐滋滋,乐陶陶
才疏意广,才高意广
拔帜易帜,取而代之
遁藏,躲藏
朗朗上口,字正腔圆
却之不恭,受之有愧
拆散,散开
飞奔,飞驰
船员,舵手
文华,文采
积玉堆金,肥马轻裘
歪曲,误解
鱼升龙门,鱼跃龙门
摆脱,脱节
考证,考据
决死,殊死
哇噻,哇塞
买卖,买卖
没齿难忘,念兹在兹
置办,购置
养息,休养
一言中的,言中事隐
偷偷,暗暗
费事,费劲
走石飞沙,飞砂转石
磨蹭,磨叽
漫谈,座谈
导引,诱掖
响遏行云,高遏行云
谢世,在世
功名利禄,富贵荣华
闭口结舌,闭口藏舌
蚍蜉撼树,撼树蚍蜉
仕途,宦途
仪式,庆典
奋袂而起,投袂而起
有始有终,有始有卒
坍塌,坍弛
曲解,误解
愚顽,顽劣
巢林一枝,偃鼠饮河
笨重,重荷
先头部队,开路先锋
蒲扇,葵扇
清洁,干净
心里,心坎
献可替否,献替可否
循环,轮回
休会,散会
提取,提炼
遣词立意,遣词造意
弃恶从善,浪子回头
八音遏密,遏密八音
晕头转向,蒙头转向
刑场,法场
明光烁亮,明光铮亮
省会,省垣
戒备森严,森严壁垒
醇厚,甘醇
一哄而上,一哄而起
卑劣手段,鬼蜮伎俩
人心归向,深得人心
呼天唤地,吁天呼地
改口沓舌,云集响应
猝不及防,骤不及防
原意,本旨
抵制,抵当
旷地,空地
敛色屏气,敛声屏气
祭奠,祭祀
避难,遁迹
屠龙之伎,屠龙之技
用钱,费钱
黄雀伺蝉,黄雀在后
昂头天外,昂首天外
严容,正色
山盟海誓,誓海盟山
刻木为鹄,刻鹄类鹜
下情上达,政通人和
惊喜交加,惊喜交集
风云变幻,风云突变
死战,苦战
家传,祖传
夹击,夹攻
众目昭彰,十手所指
严惩,重办
后生,青年
止于至善,至善至美
非分之想,想入非非
伙计,伴计
古往今来,古今中外
拔除,铲除
明公正道,明公正气
地契,方单
鱼烂取亡,鱼烂而亡
逸闻琐事,逸闻琐事
寒家,舍下
鼓劲,鼓励
伸开,张开
披发左衽,披发文身
倍道兼进,倍道兼行
依法,照章
拍手,鼓掌
写照,写真
拨弄是非,飞短流长
涎眉邓眼,涎脸饧眼
滑头,狡黠
三亲四眷,三亲六眷
品味,咀嚼
铿金戛玉,铿金霏玉
谢忱,谢意
不切实际,乱坠天花
教材,课本
乳牙,乳齿
阿意取容,阿世取容
严明,严正
声气相通,声气相投
涵养,修养
潦草,粗率
保密,守秘
伏击,袭击
吹毛索疵,吹毛索垢
同归于尽,两败俱伤
悬壶济世,悬壶问世
平辈,同辈
寻花问柳,寻欢作乐
以白为黑,以黑为白
婉言,讳言
掀天动地,掀天斡地
安步当车,缓步代车
煞有其事,煞有介事
应对如响,应答如响
四肢,手脚
连三并四,连二并三
乐园,乐土
一得之功,一得之见
五里雾,张公雾
散伙,解散
敲骨吸髓,捶骨沥髓
奉养,服待
风流倜傥,风流潇洒
刊登,刊载
人急计生,人急智生
捶胸跌脚,捶胸跌足
报李投桃,投桃报李
一石二鸟,一箭双鵰
福喜,福禧
吞声忍气,逆来顺受
倾销,推销
及早,趁早
刊行,发行
疏浚,疏通
周而复始,循环往复
空腹高心,眼高手低
抱恨,含恨
灵榇,灵柩
比目连枝,比翼连枝
神思,心机
童真,童趣
任人摆布,听人穿鼻
评话,说书
木匠,木工
季父,叔父
追欢作乐,追欢取乐
逐步,逐渐
会诊,诊断
杜渐防微,杜渐防萌
岔路,歧路
什袭珍藏,什袭而藏
食不求饱,食无求饱
燕舞莺歌,燕舞莺啼
醋坛子,醋罐子
进退为难,进退双难
途程,行程
诗礼之家,诗礼人家
导致,引致
明天,翌日
换班,转班
这里,这边
减慢,放慢
民贼独夫,独夫民贼
已经,一经
吐心吐胆,倾心吐胆
主心骨,顶梁柱
万千气象,云蒸霞蔚
鹬蚌相危,鹬蚌相争
披红戴花,披红挂彩
佛头加秽,佛头著粪
袒露,裸露
陆地,大陆
潜移默转,潜移默运
嘴脸,脸孔
有权有势,有钱有势
恶名,臭名
宜喜宜嗔,宜嗔宜喜
火树琪花,火烛银花
倾耳细听,洗耳恭听
丢脸,丢丑
后嗣,后裔
燕巢于幕,燕巢飞幕
岁月峥嵘,峥嵘岁月
恻然,戚然
仙境,瑶池
衣租食税,衣食税租
分心,分神
挑升,有意
鼻青眼肿,鼻青脸肿
钓名欺世,盗世欺名
秃头,光头
千岁一时,千载一日
点金作铁,点金成铁
凉爽,清冷
征引,援引
偏偏,偏巧
财帛,钱财
熏天赫地,盛气临人
小童,幼童
诏书,圣旨
日食万钱,奢侈浪费
曳尾泥涂,曳尾涂中
手下留情,高抬贵手
算计,推算
风尚,习尚
监主自盗,监守自盗
闭会,散会
殊效,特效
九流三教,三教九流
确凿,可信
国困民艰,民穷财尽
颓垣断壁,残垣断壁
普度众生,普度群生
污泥浊水,残渣余孽
原稿,草稿
瞎扯,乱说
君王,君主
营垒,阵营
自作自受,自取其祸
主笔,编缉
亲上做亲,亲上成亲
赋予,给予
足履实地,脚踏实地
交织,交汇
视同陌路,视若路人
易子析骸,析骸易子
摩登,现代
不稂不莠,不郎不秀
下情上达,上情下达
严拒,挡驾
阵势,时势
露面,出面
有求必应,有问必答
流言飞文,流言飞语
心安理得,做贼心虚
满腹狐疑,满腹疑团
绝笔,遗书
养尊处优,肠肥脑满
河流,河道
救经引足,事与愿违
古人,昔人
龙战玄黄,龙血玄黄
大海捞针,难如登天
竟然,居然
鼓胀,饱胀
为人师表,率马以骥
旷古,太古
孤本,珍本
怀瑾握瑜,高风亮节
接踵,相继
抒怀,抒情
油然而生,自然而然
合零为整,化零为整
宋斤鲁削,鲁斤燕削
风雨萧条,风雨凄凄
驴鸣犬吠,驴鸣狗吠
剥肤椎髓,剥肤锥髓
浑身,混身
大快人心,人心大快
创痕,伤痕
重规累矩,重规袭矩
重逢,相逢
失踪,失散
后门进狼,顾此失彼
诗庭之训,诗礼之训
光前裕后,光前启后
至诚,陈恳
漂浮,漂流
玩火自焚,自食恶果
草率行事,草率从事
条分缕析,分条析理
天真,无邪
硕大无比,硕大无朋
改名换姓,变名易姓
门户之争,门户之见
捐身徇义,捐躯报国
义举,善举
顺路,顺道
失窃,失贼
绳锯木断,锲而不舍
要塞,要隘
思索,忖量
徇情枉法,徇私作弊
有生之年,耄耋之年
武断,轻率
嗟来之食,嗟来之食
艳服,盛装
长计远虑,百年大计
披沙拣金,披沙沥金
潜移嘿夺,潜移默夺
惊醒,清醒
一秉大公,一秉至公
密码,暗码
陪侍,随侍
瓮牖绳枢,瓮牖桑枢
十亲九故,沾亲带故
惘然若失,怅然若失
会餐,聚餐
财务,财政
追名逐利,邀名射利
破旧立新,鼎新革故
研精究微,研精阐微
兔起凫举,兔起鹘落
祸从口生,言多必失
课堂,讲堂
饭铺,饭店
浩饮,酣饮
不唯,不惟
兵荒马乱,人荒马乱
沦肌浃髓,沦浃肌髓
隐敝,暗藏
计穷势蹙,计穷势迫
绿林大盗,绿林强盗
干豫,干预
外地,外埠
多艺多才,多材多艺
粗劣,粗笨
折辱,挫辱
端详,端量
言不顾行,言不顾行
剥茧抽丝,行远自迩
采办,购置
进献,供献
天上石麟,天上麒麟
卵白,蛋白
审判,审讯
各种各样,各色各样
亡魂丧魄,亡魂失魄
踽踽凉凉,踽踽独行
丰厚,优厚
喊冤,声屈
品头评足,评头品足
一针一线,一草一木
继室,继配
下棋,棋战
平平淡淡,淡泊明志
淮南鸡犬,淮王鸡狗
失效,作废
解甲倒戈,反戈一击
种种,各类
变装,角色
春晖寸草,寸草春晖
怅惘,迷惘
卫护,戍卫
笔酣墨饱,笔饱墨酣
如汤灌雪,如汤沃雪
念佛,念经
智力,智商
不义之财,坐地分赃
壁垒分明,壁垒森严
有加无已,有增无已
遐方绝域,遐方绝壤
冬眠,蛰伏
帆柱,桅竿
跻身,置身
碧血丹心,丹心碧血
妙语,趣话
迟延,稽迟
挺身而出,锐意进取
因缘,分缘
发怵,忐忑
失效,无效
拍子,球拍
洞居,穴居
吵吵闹闹,热热闹闹
升引,起用
诲人不倦,金针度人
撒手尘寰,溘然长逝
近悦远来,悦近来远
痕迹,印迹
水池,池塘
撞头搕脑,撞头磕脑
适时,合时
淡薄,澹泊
踊跃,奋勇
恶贯满盈,罪恶贯盈
恶衣恶食,恶衣粝食
全国,天下
迂腐,古老
敦世厉俗,敦风厉俗
鼻塌嘴歪,鼻塌脣青
定价,订价
霜露之思,霜露之悲
定亲,订婚
偏重,侧重
鸿章钜字,鸿篇巨制
发挥,施展
非论,无论
云净天空,云过天空
抱火卧薪,抱火寝薪
安厝,安措
度长絜大,度长絜短
飘扬,招展
化为乌有,化为泡影
如埙如箎,如埙如篪
轻裘缓带,轻裘缓辔
破绽,马脚
多愁善感,多情善感
基脚,基面
夜静更深,夜静更阑
春光外泄,漏泄春光
左迁,降级
是非,短长
障蔽,屏蔽
走访,造访
颂古非今,是古非今
张惶失措,惊皇失措
与虎谋皮,与狐谋皮
瞒天要价,瞒天讨价
将心比心,设身处地
惩办,惩治
脚印,足迹
呼卢喝雉,呼幺喝六
历练,锤炼
假手于人,假力于人
驻防,驻守
江翻海扰,江翻海沸
耳环,耳饰
合盘托出,一览无余
溜冰,滑冰
言简意少,简明扼要
唠叨,叨唠
一泻百里,一泻千里
天命,定数
号哭,号泣
如鱼似水,相亲相爱
余暇,幽闲
吟哦,吟诵
改组,改选
多余,过剩
揭底,揭短
视若儿戏,视同儿戏
示意,表示
景星麟凤,景星庆云
土沟,地沟
昏暴,昏聩
鱼龙漫衍,鱼龙曼衍
一概而论,一褱而论
热点,热门
枝外生枝,节外生枝
知交,厚交
交加,错杂
户枢不蠹,户枢不朽
茫无涯际,茫无边际
噗咚,噗哧
毛糙,粗造
美景,胜景
苍翠欲滴,葱翠欲滴
复原,还原
摆脱,开脱
不壹而三,几次三番
逼人太甚,欺人太甚
接棒人,接班人
犯禁,违禁
宽以待人,瘠己肥人
荒淫无耻,奸淫掳掠
飘逸,秀逸
高名大姓,高姓大名
令人切齿,令人发指
天假之年,天假其年
明公正道,明堂正道
奔命,逃命
怜香惜玉,男欢女爱
大发雷霆,雷霆之怒
称孤道寡,道寡称孤
极品,精品
入国问俗,入境问禁
发家,发财
奋勇前进,急流勇进
借钱,借债
打尖,打顶
挪动,移动
远足,郊游
忘我,无私
泛论,空谈
缉获,缴获
丧家之犬,丧家之狗
行所无忌,明目张胆
相配,相称
权势,权威
夏日,夏令
瞒天昧地,瞒天瞒地
老牛破车,慢条斯理
圆寂,示寂
霹雷,霹雳
不分彼此,不分畛域
风浪,风波
愚蠢,蠢货
有口无心,口口声声
辐射,辐照
相沿,沿袭
空暇,闲暇
厚实,富厚
才疏志大,才高意广
博士买驴,不胜其烦
透澈,澈底
笼中之鸟,笼鸟槛猿
入阁登坛,登坛拜将
惹恼,触怒
妙技,技巧
住持,当家
才华横溢,才华超众
查究,根究
油头粉面,淡扫蛾眉
寒来暑往,暑往寒来
光洁,光亮
钉嘴铁舌,铁嘴钢牙
破镜分钗,乐昌破镜
德育,智育
士兵,战士
存放,寄存
偏听则暗,偏听偏信
大错特错,大谬不然
悲欢离合,酸甜苦辣
怨女旷夫,旷夫怨女
潜伏,潜在
下笔成文,操翰成章
岂有此理,不可思议
躬冒矢石,躬蹈矢石
妖冶,妖调
指东话西,指东说西
狎昵,狎犯
布景,背景
好歹,好赖
农事,庄稼
藏之名山,公诸同好
更仆难数,更仆难尽
明察,洞察
谐和,调和
私货,黑货
鹄形菜色,面黄肌瘦
幽邃,幽深
魁首,渠魁
退职,引退
星星点点,零零散散
娴雅,闲雅
小本经营,小商小贩
硬汉,铁汉
骄恣,骄纵
商业,贸易
失期,误期
心慈手软,心慈面软
匡时济世,匡时济俗
安常处顺,安常履顺
胆小怕事,胆小如鼠
布景,配景
吹牛,夸口
蚁穴坏堤,蚁穴溃堤
风轻云净,风轻云淡
屠夫,屠户
前进,挺进
闳言崇议,闳言高论
创始,创举
神思恍惚,精神恍惚
搜肠刮肚,挖空心思
狗马声色,声色犬马
酣歌恒舞,酣歌醉舞
房东,房主
贫嘴贱舌,尖嘴薄舌
高超,上流
十年寒窗,十年窗下
安富恤穷,安富恤贫
灼见真知,真知卓见
鞍马劳顿,鞍马劳神
头面人物,首脑人物
原始反终,原始见终
贼人心虚,贼人胆虚
疆场,沙场
拥塞,堵塞
娱乐,文娱
仁政,德政
高枕无忧,安枕而卧
长眠,长逝
以功补过,将功折罪
栏杆,雕栏
桀敖不驯,桀骜难驯
便宜施行,便宜行事
处置,措置
夙敌,宿敌
骤雨暴风,骤风暴雨
澄清,清亮
骨软筋酥,骨软肉酥
捏造,虚构
争多论少,争长论短
顺心,随和
美酒佳肴,美味佳肴
一下子,一忽儿
傍人篱壁,傍人篱落
稍微,稍稍
晚上,晚间
孝子贤孙,孝子慈孙
夺门而出,破门而出
吸吮,吮吸
帷灯匣剑,帷灯箧剑
空谷足音,千载难逢
代马依风,狐死首丘
老小,老少
骨肉,骨血
叹气,慨气
时绌举盈,时绌举赢
千虑一失,百密一疏
傍边,旁边
一板一眼,一板三眼
杜绝后患,除恶务尽
熊经鸟申,熊经鸱顾
公断,公评
远近,遐迩
棘地荆天,荆天棘地
力争,力图
带路,引路
空洞无物,空话连篇
雨蓑烟笠,雨蓑风笠
依法办事,军法从事
急竹繁丝,急拍繁弦
招摇过市,白日衣绣
失火,火灾
浑然天成,浑然自成
古稀之年,年逾古稀
胜负,赢输
回答,解答
围剿,会剿
出生,降生
忧伤,伤心
瑰意奇行,瑰意琦行
人心叵测,人心难测
屹然,耸然
符号,象征
扇火止沸,抱薪救焚
摇尾涂中,曳尾涂中
义母,干娘
完成,竣事
村歌,山歌
兴建,兴修
敬拜,膜拜
滥调,谰言
审视,谛视
犒劳,慰劳
崭新,极新
集腋成裘,集腋为裘
查验,检查
面对,面临
上吊,吊颈
层层叠叠,重重叠叠
回音,覆信
包羞忍耻,包羞忍辱
如解倒悬,解民倒悬
晚辈,小辈
刻毒,苛刻
贪婪,贪心
振振有辞,振振有词
子孙满堂,人丁兴旺
日滋月益,日益月滋
公事,公务
住处,居所
软禁,幽禁
酒色之徒,好色之徒
秉性,性情
衣锦昼行,衣锦昼游
游记,纪行
豆乳,豆浆
矛头,锋芒
揭箧担囊,揭箧探囊
老拙,老朽
假想,设想
操演,操练
半数,对折
妩媚,妖娆
飞鹰奔犬,飞鹰走马
共事,同事
坦然自若,气定神闲
鞠躬尽力,鞠躬尽力
随兴,随兴
漫衍,分布
留恋不舍,流连忘反
对联,春联
体格,体魄
喜跃,雀跃
宗族,系族
新居,新址
挠腮撧耳,撧耳挠腮
天道好还,天理循环
尊俎折冲,樽俎折冲
版块,版本
制肘,掣肘
心仪,中意
喊冤叫屈,鸣冤叫屈
斥候,标兵
官运亨通,达官显贵
通古博今,通今博古
详明,详细
小心翼翼,翼翼小心
枝叶,枝桠
不成材,不长进
断梗浮萍,断梗流萍
八公山上,满腹疑团
垂涎欲滴,垂涎欲滴
家给民足,户给人足
享受,享用
不然,否则
风驰电击,风驰霆击
冰片,龙脑
拍马溜须,溜须拍马
孑立,零丁
一派,一片
救世济民,救民水火
绳子,绳索
运斤成风,运斤如风
抢眼,拉风
剥削者,吸血鬼
地广人稀,地广人希
百川归海,众望所盼
看守,督察
死而复活,死去活来
半信不信,将信将疑
干瘦,枯瘠
挥戈退日,挥戈回日
词藻,词华
簇拥,蜂涌
道同契合,道同志合
商定,约定
头痒搔跟,头痛医脚
映雪读书,映雪囊萤
剥夺,褫夺
公而忘私,公而忘私
等而下之,相形见绌
磕绊,趔趄
诗云子曰,诗云子曰
趁机,趁便
捎关打节,投机倒把
为丛驱雀,为渊驱鱼
拙见,鄙见
逐一,逐个
生性,素性
歪曲,扭曲
萌发,发芽
案卷,档册
收尾,扫尾
合法,正当
半吐半吞,欲言又止
密探,特务
翔实,详确
开动,启动
升降,起落
征聘,征请
沮丧,黯然
散失,消散
如虎得翼,如虎生翼
白叟,老人
依丱附木,依草附木
智慧,聪敏
吹打,奏乐
草草收兵,草率收兵
金石不渝,坚贞不渝
脑怒,气愤
高人胜士,高人逸士
争分夺秒,见缝插针
枕岩漱流,枕石嗽流
职业,事业
慢慢悠悠,慢条斯理
